,상품명,가격
0,단하루 혜택가 14720원/펩시콜라 제로슈거 라임 355ml 24캔 캔음료/탄산음료/제로콜라/음료수/펩시제로 ,"19,720원"
1,남여 와일드원 네비게이트 캐주얼 트레킹화 C36 BM9694 ,"61,920원"
2,백진미채 1kg 국내가공(G-최종가 18720원) ,"23,400원"
3,3장세트 남녀공용 무지 라운드 면 반팔티셔츠 ,"7,900원"
4,당도선별 블랙라벨 오렌지 중소과 30과(2세트 구매시 5과추가) 썬키스트 퓨어스펙 ,"20,900원"
5,(신세계강남점)2022 휠라키즈 패턴이글 운동화 4종 할인가 38500원 ,"30,800원"
6,한상궁김치 국산 겉절이 2kg 출고당일생산 ,"11,000원"
7,최종 14180 앤더라인 쫀득 대형 등쿠션 바디필로우 /부드러운 애착 쿠션 ,"18,900원"
8,냉감바디필로우 쿨링 성인 애착인형 롱쿠션 거짓말 플 ,"75,700원"
9,(신세계강남점) NY  갈색병 세럼 50ml 세트 (+총 45ml 추가 증정) ,"151,060원"
10,단하루 혜택가 12400원/칠성 사이다 210ml x 30캔/탄산음료/사이다/음료수 ,"17,400원"
11,아침이슬 고당도 성주 꿀 참외 실속 3kg 혼합랜덤과 ,"23,900원"
12,구구 크러스터 아이스크림 660ml 6개 ,"24,900원"
13,널담은뚱카롱/마카롱 /8구 2박스/화이트데이/쿠폰가16700원 ,"21,200원"
14,빼빼로 혼합 12입+바닐라코 트위드 파우치 ,"16,900원"
15,젓갈 반찬 김치 밑반찬 쫄깃한 오징어젓 1kg+명란젓 파치450g 2개구매시 사은품 증정 ,"17,900원"
16,혜택가 29700원/유산균 락토핏 골드 50포 3통(150일분)+골드30포 증정/프로바이오틱스+아연 ,"32,700원"
17,3단 암막 자동 우산 자외선 UV 차단 16살대 장우산 ,"10,900원"
18,호박 찹쌀 약과 40개 ,"13,550원"
19,가마솥 육개장(육개탕) 5봉 (1봉 600g) ,"19,290원"
